Season,SeasonType,Players,SeasonId,SeasonName,TeamId,TeamName
1951-52,Playoffs,"[{'Id': 77853, 'Name': 'Andy Phillip'}, {'Id': 77590, 'Name': 'Ed Mikan'}, {'Id': 78115, 'Name': 'George Senesky'}, {'Id': 76764, 'Name': 'Joe Fulks'}, {'Id': 77824, 'Name': 'Mel Payton'}, {'Id': 77169, 'Name': 'Neil Johnston'}, {'Id': 76190, 'Name': 'Nelson Bobb'}, {'Id': 76056, 'Name': 'Paul Arizin'}, {'Id': 76779, 'Name': 'Vern Gardner'}, {'Id': 76298, 'Name': 'Walter Budko'}]",1951,1951-52,1610612744,Philadelphia Warriors
1951-52,Regular Season,"[{'Id': 77853, 'Name': 'Andy Phillip'}, {'Id': 76496, 'Name': 'Ed Dahler'}, {'Id': 77590, 'Name': 'Ed Mikan'}, {'Id': 78115, 'Name': 'George Senesky'}, {'Id': 76764, 'Name': 'Joe Fulks'}, {'Id': 77824, 'Name': 'Mel Payton'}, {'Id': 77169, 'Name': 'Neil Johnston'}, {'Id': 76190, 'Name': 'Nelson Bobb'}, {'Id': 76056, 'Name': 'Paul Arizin'}, {'Id': 76285, 'Name': 'Stan Brown'}, {'Id': 76779, 'Name': 'Vern Gardner'}, {'Id': 76298, 'Name': 'Walter Budko'}]",1951,1951-52,1610612744,Philadelphia Warriors
1951-52,Playoffs,"[{'Id': 77132, 'Name': 'Arnie Johnson'}, {'Id': 77967, 'Name': 'Arnie Risen'}, {'Id': 76514, 'Name': 'Bob Davies'}, {'Id': 78453, 'Name': 'Bobby Wanzer'}, {'Id': 76414, 'Name': 'Jack Coleman'}, {'Id': 78225, 'Name': 'Odie Spears'}, {'Id': 77902, 'Name': 'Ray Ragelis'}, {'Id': 77050, 'Name': 'Red Holzman'}]",1951,1951-52,1610612758,Rochester Royals
1951-52,Regular Season,"[{'Id': 76937, 'Name': 'Alex Hannum'}, {'Id': 77132, 'Name': 'Arnie Johnson'}, {'Id': 77967, 'Name': 'Arnie Risen'}, {'Id': 76514, 'Name': 'Bob Davies'}, {'Id': 78453, 'Name': 'Bobby Wanzer'}, {'Id': 76414, 'Name': 'Jack Coleman'}, {'Id': 78225, 'Name': 'Odie Spears'}, {'Id': 77723, 'Name': 'Paul Noel'}, {'Id': 77902, 'Name': 'Ray Ragelis'}, {'Id': 77050, 'Name': 'Red Holzman'}, {'Id': 77912, 'Name': 'Sam Ranzino'}]",1951,1951-52,1610612758,Rochester Royals
1951-52,Playoffs,"[{'Id': 77132, 'Name': 'Arnie Johnson'}, {'Id': 77967, 'Name': 'Arnie Risen'}, {'Id': 76514, 'Name': 'Bob Davies'}, {'Id': 78453, 'Name': 'Bobby Wanzer'}, {'Id': 76414, 'Name': 'Jack Coleman'}, {'Id': 78225, 'Name': 'Odie Spears'}, {'Id': 77902, 'Name': 'Ray Ragelis'}, {'Id': 77050, 'Name': 'Red Holzman'}]",1951,1951-52,1610612758,Sacramento Kings
1951-52,Regular Season,"[{'Id': 76937, 'Name': 'Alex Hannum'}, {'Id': 77132, 'Name': 'Arnie Johnson'}, {'Id': 77967, 'Name': 'Arnie Risen'}, {'Id': 76514, 'Name': 'Bob Davies'}, {'Id': 78453, 'Name': 'Bobby Wanzer'}, {'Id': 76414, 'Name': 'Jack Coleman'}, {'Id': 78225, 'Name': 'Odie Spears'}, {'Id': 77723, 'Name': 'Paul Noel'}, {'Id': 77902, 'Name': 'Ray Ragelis'}, {'Id': 77050, 'Name': 'Red Holzman'}, {'Id': 77912, 'Name': 'Sam Ranzino'}]",1951,1951-52,1610612758,Sacramento Kings
1951-52,Playoffs,"[{'Id': 77853, 'Name': 'Andy Phillip'}, {'Id': 77590, 'Name': 'Ed Mikan'}, {'Id': 78115, 'Name': 'George Senesky'}, {'Id': 76764, 'Name': 'Joe Fulks'}, {'Id': 77824, 'Name': 'Mel Payton'}, {'Id': 77169, 'Name': 'Neil Johnston'}, {'Id': 76190, 'Name': 'Nelson Bobb'}, {'Id': 76056, 'Name': 'Paul Arizin'}, {'Id': 76779, 'Name': 'Vern Gardner'}, {'Id': 76298, 'Name': 'Walter Budko'}]",1951,1951-52,1610612744,San Francisco Warriors
1951-52,Regular Season,"[{'Id': 77853, 'Name': 'Andy Phillip'}, {'Id': 76496, 'Name': 'Ed Dahler'}, {'Id': 77590, 'Name': 'Ed Mikan'}, {'Id': 78115, 'Name': 'George Senesky'}, {'Id': 76764, 'Name': 'Joe Fulks'}, {'Id': 77824, 'Name': 'Mel Payton'}, {'Id': 77169, 'Name': 'Neil Johnston'}, {'Id': 76190, 'Name': 'Nelson Bobb'}, {'Id': 76056, 'Name': 'Paul Arizin'}, {'Id': 76285, 'Name': 'Stan Brown'}, {'Id': 76779, 'Name': 'Vern Gardner'}, {'Id': 76298, 'Name': 'Walter Budko'}]",1951,1951-52,1610612744,San Francisco Warriors
1951-52,Regular Season,"[{'Id': 76311, 'Name': 'Art Burris'}, {'Id': 78586, 'Name': 'Bob Wilson'}, {'Id': 76394, 'Name': 'Cal Christensen'}, {'Id': 76173, 'Name': 'Charlie Black'}, {'Id': 77572, 'Name': 'Dick Mehen'}, {'Id': 76473, 'Name': 'Dillard Crocker'}, {'Id': 76214, 'Name': 'Don Boven'}, {'Id': 77778, 'Name': 'Don Otten'}, {'Id': 77933, 'Name': 'Don Rehfeldt'}, {'Id': 76141, 'Name': 'Elmer Behnke'}, {'Id': 78402, 'Name': 'Gene Vance'}, {'Id': 77783, 'Name': 'James Owens'}, {'Id': 76745, 'Name': 'Jerry Fowler'}, {'Id': 77513, 'Name': 'John McConathy'}, {'Id': 77941, 'Name': 'John Rennicke'}, {'Id': 77089, 'Name': 'Mel Hutchins'}, {'Id': 76551, 'Name': 'Nate DeLong'}, {'Id': 77278, 'Name': 'Walt Kirk'}]",1951,1951-52,1610612737,St. Louis Hawks
1951-52,Playoffs,"[{'Id': 76373, 'Name': 'Al Cervi'}, {'Id': 76768, 'Name': 'Billy Gabor'}, {'Id': 78076, 'Name': 'Dolph Schayes'}, {'Id': 77268, 'Name': 'George King'}, {'Id': 77913, 'Name': 'George Ratkovicz'}, {'Id': 76326, 'Name': 'Gerry Calabrese'}, {'Id': 77212, 'Name': 'Noble Jorgensen'}, {'Id': 78117, 'Name': 'Paul Seymour'}, {'Id': 77999, 'Name': 'Red Rocha'}, {'Id': 77775, 'Name': 'Wally Osterkorn'}]",1951,1951-52,1610612755,Syracuse Nationals
